name,category,address,phone,description
Распорядительная дирекция имущества городского округа Евпатория,Органы власти и Администрация,"ул. Революции, 61/4/8, Евпатория",+7 (36569) 3-31-71,"Работа с муниципальным имуществом и земельными отношениями, в том числе оказание муниципальных услуг и управление муниципальной собственностью."
МБУ «Порядок»,Коммунальное хозяйство,"ул. Товарная, 5, Евпатория",+7 (36569) 3-20-27,"Муниципальное учреждение, выполняющее работы и услуги в сфере городского хозяйства и благоустройства."
МБУ «Управление городского хозяйства»,Коммунальное хозяйство,"ул. 60 лет ВЛКСМ, 10, Евпатория",+7 (36569) 6-31-03,Муниципальное учреждение в сфере организации и обеспечения деятельности городского хозяйства.
ООО «Управком «Уют» городского округа Евпатория Республики Крым,Коммунальное хозяйство,"ул. Толстого, 75/2А, Евпатория",+7 (36569) 6-16-32,"Управляющая организация, осуществляющая управление многоквартирными домами и обслуживание жилищного фонда."
МУП «Трамвайное управление им. И.А. Пятецкого»,Транспорт,"ул. Белинского, 1, Евпатория",+7 (36569) 2-76-78,"Муниципальное предприятие, связанное с городским трамвайным транспортом Евпатории."
МУП «Экоград»,Коммунальное хозяйство,"Черноморское шоссе, 25, Евпатория",+7 (36569) 5-96-09,Муниципальное предприятие в сфере городского коммунального хозяйства.
Центр поддержки и развития предпринимательства,Предпринимательство,"ул. Революции, 50/5, Евпатория",+7 (36569) 3-15-63,Консультационная и информационная поддержка субъектов малого и среднего предпринимательства и самозанятых.
МКУ «Центр обслуживания организаций культуры»,Культура,"ул. Революции, 63/3/10, Евпатория",+7 (36569) 6-20-90,"Муниципальное учреждение, обеспечивающее организационно-хозяйственную деятельность организаций культуры и спорта."
Евпаторийский краеведческий музей,Культура,"ул. Дувановская, 11, Евпатория",+7 (36569) 3-12-80,"Музей собирает, хранит и изучает памятники природы, материальной и духовной культуры Евпатории и края."
Евпаторийская централизованная библиотечная система,Культура,"проезд А. Ахматовой, 23, Евпатория",+7 (36569) 3-24-62,"Муниципальная библиотечная система города, предоставляющая библиотечно-библиографические услуги."
Евпаторийский центр культуры и досуга,Культура,"ул. Революции, 52 б, Евпатория",+7 (36569) 3-04-21,"Проводит культурно-просветительские мероприятия и организует работу творческих коллективов, студий и клубов."
МБУ «Архив города Евпатории»,Органы власти и Администрация,"ул. Демышева, 100А, Евпатория",+7 (36569) 3-67-60,"Выдача архивных справок, копий и выписок по документам органов власти и местного самоуправления и другим архивным материалам."
Управление территориального планирования и градостроительной деятельности,Органы власти и Администрация,"пр-т Ленина, 54, Евпатория",+7 (36569) 6-02-39,Муниципальное учреждение в сфере территориального планирования и градостроительной деятельности.
Управление капитального строительства администрации города Евпатории,Органы власти и Администрация,"ул. Братьев Буслаевых, 18, Евпатория",+7 (36569) 2-35-76,"Муниципальное учреждение, связанное с организацией и сопровождением капитального строительства муниципальных объектов."
Единая дежурно-диспетчерская служба Евпатории,Безопасность,"пр-т Ленина, 2, Евпатория",+7 (36569) 3-33-15,Муниципальная дежурно-диспетчерская служба для приема и координации сообщений о чрезвычайных и нештатных ситуациях.
МБОУ ДОД «Детско-юношеская спортивная школа по футболу города Евпатории Республики Крым»,Спорт,"пр-т Победы, 11, Евпатория",+7 (36569) 9-41-22,Муниципальная спортивная школа дополнительного образования с подготовкой по футболу.
МБУ «Дворец спорта» города Евпатории Республики Крым имени летчика-космонавта Ю. Гагарина,Спорт,"пр-т Победы, 11, Евпатория",+7 (36569) 6-27-15,Муниципальный спортивный объект для учебно-тренировочной деятельности и спортивных мероприятий.
Спортивная школа города Евпатории,Спорт,"ул. Демышева, 114, Евпатория",+7 (36569) 3-12-20,"Муниципальная спортивная школа, обеспечивающая учебно-тренировочный процесс по видам спорта."
Евпаторийская детская художественная школа им. Ю.В. Волкова,Образование,"ул. Некрасова, 86, Евпатория",+7 (36569) 5-36-28,"Дополнительное художественное образование детей, включая общеразвивающие и предпрофессиональные программы."
МБУ «Центр массового спорта города Евпатории Республики Крым»,Спорт,"ул. Советская, 8, Евпатория",+7 (36569) 3-21-72,"Муниципальное учреждение, занимающееся организацией и развитием массового спорта."
Центр развития «ПРОдвижение» города Евпатории,Образование,"ул. Дмитрия Ульянова, 2Б, Евпатория",+7 (978) 706-50-63,Муниципальный центр дополнительного образования и развития детей.
